Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","29","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","7","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","36","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","36","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","0.87","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","3.29","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","49434.92","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","0.39","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","5878.17","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","0.19","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","2875.95","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1958","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","304","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","-157","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5911","Exportations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","50","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","2370","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","2370","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","39.57","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","149.24","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","3262483.93","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","17.86","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","390494.12","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","8.63","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","188696.62","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","18","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","47","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","64","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","64","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","22.56","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","85.67","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","88878.33","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","10.27","E","Valeur estimée",""
