Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2018","2018","1000 No","36686.78","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2019","2019","1000 No","37769.5","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2020","2020","1000 No","38972.23","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2021","2021","1000 No","40099.46","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2022","2022","1000 No","41128.77","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","511","Population totale","S2501","Population","2018","2018","1000 No","57339.64","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","511","Population totale","S2501","Population","2019","2019","1000 No","58087.06","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","511","Population totale","S2501","Population","2020","2020","1000 No","58801.93","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","511","Population totale","S2501","Population","2021","2021","1000 No","59392.25","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","511","Population totale","S2501","Population","2022","2022","1000 No","59893.89","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","511","Population totale","S2501","Population","2018","2018","1000 No","2877.01","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","511","Population totale","S2501","Population","2019","2019","1000 No","2873.88","X","Ciffre de sources internationales",""
"FBS","Bilans Alimentaires (2010-)","008","Albanie","511","Population totale","S2501","Population","2020","2020","1000 No","2866.85","X","Ciffre de sources internationales",""
