Zone,Dispo alimentaire (kg/per/an),Population,Croissance population (%),Stabilité Politique,Pib/habitant,Taux stockage (%),Taux autosuffisance (%),Taux dépendance importations (%)
Afghanistan,0.87,41128770.0,2.9,-2.55,2138.9,2.78,80.56,19.44
Afrique du Sud,39.57,59893890.0,1.1,-0.72,14322.3,-6.62,82.62,12.83
Albanie,22.56,2842320.0,-0.3,0.11,17261.0,0.0,28.12,73.44
Algérie,6.13,44903220.0,1.73,-0.74,13090.9,0.0,100.0,0.0
Allemagne,16.51,83369840.0,0.14,0.61,62605.5,11.63,103.08,53.97
Angola,10.52,35588990.0,3.28,-0.65,7407.1,0.0,15.78,84.49
Antigua-et-Barbuda,68.33,93760.0,0.58,0.94,27757.2,0.0,0.0,100.0
Arabie saoudite,45.57,36408820.0,0.98,-0.36,51246.4,0.06,68.11,33.21
Argentine,48.19,45510320.0,0.61,-0.01,27127.4,0.0,107.66,0.64
Arménie,18.45,2780470.0,-0.5,-0.8,19100.2,0.0,23.08,76.92
Australie,49.09,26177410.0,1.18,0.93,59120.0,4.67,108.72,0.31
Autriche,19.14,8939620.0,0.28,0.64,65836.9,0.53,80.0,63.68
Azerbaïdjan,16.06,10358070.0,0.5,-0.93,21031.5,0.0,78.31,22.89
Bahamas,63.27,409980.0,0.5,0.88,32895.0,0.0,21.43,78.57
Bahreïn,46.73,1472230.0,-0.49,-0.41,56646.6,0.0,12.68,88.73
Bangladesh,1.66,171186370.0,1.13,-1.09,7805.2,0.0,100.0,0.0
Barbade,56.37,281630.0,0.17,1.15,16325.5,0.0,84.21,15.79
Belgique,16.25,11655930.0,0.45,0.58,63431.0,-1.68,189.08,129.83
Belize,30.33,405270.0,1.48,0.43,12407.0,0.0,100.0,0.0
Bhoutan,4.81,782460.0,0.65,0.86,13423.4,0.0,25.0,75.0
Bolivie (État plurinational de),42.45,12224110.0,1.3,-0.28,9565.3,0.0,99.42,0.58
Bosnie-Herzégovine,21.82,3233530.0,-1.25,-0.44,19355.7,0.0,97.18,21.13
Botswana,2.56,2630300.0,1.78,1.08,17334.9,0.0,14.29,71.43
Brésil,47.05,215313500.0,0.61,-0.33,17874.3,0.08,144.97,0.05
Bulgarie,20.87,6781950.0,-1.2,0.25,32511.8,11.89,79.02,62.94
Burkina Faso,6.66,22673760.0,2.69,-1.78,2448.1,0.0,100.0,0.0
Burundi,0.66,12889580.0,2.91,-1.19,857.2,0.0,100.0,0.0
Bélarus,35.13,9534950.0,-0.42,-0.79,26526.6,0.0,152.38,4.76
Bénin,10.69,13352860.0,2.83,-0.35,3697.6,0.0,6.99,93.01
Cabo Verde,23.13,593150.0,0.95,0.93,7633.8,0.0,0.0,92.86
Cambodge,1.83,16767840.0,1.14,-0.04,4860.5,6.45,83.87,22.58
Cameroun,4.45,27914540.0,2.72,-1.35,4785.7,0.0,99.19,1.61
Canada,41.17,38454330.0,0.94,0.77,56716.4,0.13,96.72,13.01
Chili,38.51,19603730.0,1.18,0.12,29691.2,0.0,101.85,23.05
Chine,17.69,1457964770.0,0.16,-0.26,21262.3,-0.22,95.39,7.38
Chine - RAS de Hong-Kong,45.14,7488860.0,0.02,0.61,64166.7,-19.66,5.9,85.67
Chine - RAS de Macao,49.61,695170.0,1.66,1.13,57203.4,0.0,8.82,94.12
"Chine, Taiwan Province de",40.9,23893400.0,0.18,0.85,1.0,1.13,78.81,22.31
"Chine, continentale",17.14,1425887340.0,0.16,-0.26,21019.5,0.01,97.52,5.48
Chypre,29.09,1251490.0,0.66,0.42,50232.2,7.32,65.85,43.9
Colombie,36.65,51874020.0,1.29,-0.64,18732.7,0.0,95.74,4.26
Comores,23.05,836770.0,1.89,-0.23,3445.1,-26.32,5.26,73.68
Congo,27.6,5970420.0,2.35,-0.02,6272.3,0.0,4.24,95.76
Costa Rica,32.27,5180830.0,0.69,0.95,24650.5,0.0,89.94,11.83
Croatie,19.54,4030360.0,-0.79,0.61,39538.5,5.06,89.87,43.04
Côte d'Ivoire,2.45,28160540.0,2.52,-0.52,6699.9,0.0,98.55,1.45
Danemark,17.83,5882260.0,0.5,0.87,71224.3,0.0,143.4,93.4
